,Dates,FX,PPI,Pair,3m,6m,12m,months,fitted,FX_eff,ret,ret_eff
0,1983-01-01,0.9471,0.4628604162688562,EURUSD,0.0,0.0,0.0,0.0,1.0494038387748332,0.9471,,
1,1983-02-28,0.9527,0.46534275348481957,EURUSD,0.0,0.0,0.0,0.0,1.0501580078281652,0.9527,,
2,1983-03-31,0.9344,0.46852879280658116,EURUSD,0.0,0.0,0.0,0.0,1.0511259715051868,0.9344,,
3,1983-04-29,0.9229,0.4728979122773415,EURUSD,0.0,0.0,0.0,0.0,1.052453371615844,0.9229,,
4,1983-05-31,0.8998,0.47272033574971384,EURUSD,0.0,0.0,0.0,0.0,1.0523994213624803,0.8998,,
5,1983-06-30,0.8908,0.47413465195891974,EURUSD,0.0,0.0,0.0,0.0,1.0528291105722096,0.8908,,
6,1983-07-29,0.8564,0.47703113135914954,EURUSD,0.0,0.0,0.0,0.0,1.0537091018615556,0.8564,,
7,1983-08-31,0.8379,0.48067449791587724,EURUSD,0.0,0.0,0.0,0.0,1.0548160080020104,0.8379,,
8,1983-09-30,0.8528,0.4863065804488399,EURUSD,0.0,0.0,0.0,0.0,1.0565271141018815,0.8528,,
9,1983-10-31,0.8525,0.485105580693816,EURUSD,0.0,0.0,0.0,0.0,1.0561622334392247,0.8525,,
10,1983-11-30,0.8325,0.4896955946303649,EURUSD,0.0,0.0,0.0,0.0,1.0575567444037492,0.8325,,
11,1983-12-30,0.8226,0.4928220627125047,EURUSD,0.0,0.0,0.0,0.0,1.058506609498071,0.8226,-0.13145391194171685,-0.13145391194171685
12,1984-01-31,0.7957,0.4966292134831461,EURUSD,0.0,0.0,0.0,0.0,1.059663275592477,0.7957,-0.16479479374409578,-0.16479479374409578
13,1984-02-29,0.8574,0.4984144749113971,EURUSD,0.0,0.0,0.0,0.0,1.0602056631910015,0.8574,-0.08240582191780821,-0.08240582191780821
14,1984-03-30,0.8584,0.49990690746602123,EURUSD,0.0,0.0,0.0,0.0,1.0606590852481035,0.8584,-0.06988839527576118,-0.06988839527576118
15,1984-04-30,0.8218,0.504933904300875,EURUSD,0.0,0.0,0.0,0.0,1.0621863577796775,0.8218,-0.08668593020671267,-0.08668593020671267
16,1984-05-31,0.8177,0.5085724934774506,EURUSD,0.0,0.0,0.0,0.0,1.063291812484669,0.8177,-0.08206106870229013,-0.08206106870229013
17,1984-06-29,0.803,0.5104360790160268,EURUSD,0.0,0.0,0.0,0.0,1.0638579960524748,0.803,-0.06235404016814572,-0.06235404016814572
18,1984-07-31,0.7739,0.5114985163204747,EURUSD,0.0,0.0,0.0,0.0,1.0641807794885718,0.7739,-0.07638142976488838,-0.07638142976488838
19,1984-08-31,0.7736,0.5159188233103705,EURUSD,0.0,0.0,0.0,0.0,1.0655237310894135,0.7736,-0.09287054409005635,-0.09287054409005635
20,1984-09-28,0.7303,0.5228464419475656,EURUSD,0.0,0.0,0.0,0.0,1.0676284393280284,0.7303,-0.1433431085043989,-0.1433431085043989
21,1984-10-31,0.7359,0.5233401525013948,EURUSD,0.0,0.0,0.0,0.0,1.0677784355568272,0.7359,-0.11603603603603607,-0.11603603603603607
22,1984-11-30,0.7227,0.5239243323442137,EURUSD,0.0,0.0,0.0,0.0,1.0679559176314628,0.7227,-0.12144420131291023,-0.12144420131291023
23,1984-12-31,0.7114,0.5269416573764399,EURUSD,0.0,0.0,0.0,0.0,1.068872623528033,0.7114,-0.10594445142641695,-0.10594445142641695
24,1985-01-31,0.7078,0.5344347503248561,EURUSD,0.0,0.0,0.0,0.0,1.0711491308369898,0.7078,-0.17448098903662246,-0.17448098903662246
25,1985-02-28,0.6688,0.5380192878338279,EURUSD,0.0,0.0,0.0,0.0,1.0722381638831004,0.6688,-0.2208760484622555,-0.2208760484622555
26,1985-03-29,0.7209,0.5422312975682199,EURUSD,0.0,0.0,0.0,0.0,1.0735178318402112,0.7209,-0.1227792650279873,-0.1227792650279873
27,1985-04-30,0.7174,0.5435868961687951,EURUSD,0.0,0.0,0.0,0.0,1.0739296818123742,0.7174,-0.12266112266112261,-0.12266112266112261
28,1985-05-31,0.7279,0.5434261478886225,EURUSD,0.0,0.0,0.0,0.0,1.0738808442179077,0.7279,-0.09352428393524292,-0.09352428393524292
29,1985-06-28,0.7352,0.5439793472247834,EURUSD,0.0,0.0,0.0,0.0,1.0740489139777185,0.7352,-0.050006460783046935,-0.050006460783046935
30,1985-07-31,0.7865,0.543482257767972,EURUSD,0.0,0.0,0.0,0.0,1.0738978911905428,0.7865,0.0166752843846949,0.0166752843846949
31,1985-08-30,0.7843,0.5470164418991317,EURUSD,0.0,0.0,0.0,0.0,1.0749716261703663,0.7843,0.07394221552786528,0.07394221552786528
32,1985-09-30,0.8183,0.5559296670407782,EURUSD,0.0,0.0,0.0,0.0,1.0776795896670188,0.8183,0.11197173529012105,0.11197173529012105
33,1985-10-31,0.8386,0.547846889952153,EURUSD,0.0,0.0,0.0,0.0,1.0752239280002551,0.8386,0.16037083160370824,0.16037083160370824
34,1985-11-29,0.8693,0.5462031107044831,EURUSD,0.0,0.0,0.0,0.0,1.0747245246834414,0.8693,0.22195670508855758,0.22195670508855758
